id,id2,Census Tract,County,State,Median_income,Income Bracket,ENERGY BILL,ELEC BILL,GAS BILL,WATER BILL,energy burden,elec burden,gas bill,water bill,Total HH,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",HH_Living costs (month),HH_Living Costs (annual),Poverty Rate,Population_Greater_Mile,Food_Desert,Elderly Living Alone,Rent Burden,Eviction Rates,Eviction Filings,Eviction Filing Rates,Transportation Burden,Lack of Health Insurance,Tree Canopy Coverage,Vacant Houses
1400000US36029003302,36029003302,33.02,Erie,New York,19947,4.1,2561.965116,1229.476744,1332.488372,670.9273256,0.128438618,0.061637176,0.066801442,0.0336355,1163,149,224,267,410,519,604,677,773,794,949,1011,1089,1118,1145,1152,1163,809,9708,41.7,Null,0,0.202348066,0.33,0.0166,103,0.1066,0.19,0.053,0.119245005,0.211521926
1400000US36029005802,36029005802,58.02,Erie,New York,18452,3.4,2684.31016,1071.144385,1613.165775,383.7647059,0.145475296,0.058050314,0.087424982,0.020798001,1428,188,419,631,700,742,788,947,987,1073,1175,1210,1294,1383,1413,1413,1428,770,9240,37,Null,0,0.03728202,0.296,0.0093,97,0.1002,0.21,0.121,0.078256001,0.103641457
1400000US36029012400,36029012400,124,Erie,New York,19817,4.1,1960.615385,894.7384615,1065.876923,433.5153846,0.098936034,0.045150046,0.053785988,0.021875934,1122,97,207,379,435,477,529,563,592,646,719,803,961,1034,1099,1122,1122,789,9468,27,Null,1,Null,0.293,0,3,0.0068,0.21,0.105,Null,0.07486631
1400000US36029016800,36029016800,168,Erie,New York,17411,3.3,2730.096257,1237.73262,1492.363636,525.6524064,0.156802955,0.071089117,0.085713838,0.030190822,1111,151,308,443,529,694,703,771,806,840,868,982,997,1075,1111,1111,1111,665,7980,32.7,Null,0,0.150979154,0.4018,0.0102,111,0.1034,0.18,0,0.116540003,0.272727273
1400000US36029005801,36029005801,58.01,Erie,New York,17535,3.4,2684.31016,1071.144385,1613.165775,383.7647059,0.153082986,0.061086078,0.091996908,0.02188564,3220,133,235,400,450,536,646,791,874,1025,1209,1485,1927,2313,2605,2873,3220,693,8316,42,Null,0,0.108757062,0.296,0.0087,67,0.0976,0.2,0.039,0.075690098,0.034161491
1400000US36029010807,36029010807,108.07,Erie,New York,25776,5.2,2495.664804,1305.251397,1190.413408,341.9608939,0.09682126,0.050638245,0.046183016,0.013266639,2680,31,116,139,152,264,284,326,341,378,412,514,793,1192,1359,1918,2680,1012,12144,10.3,Null,1,Null,0.285,0,7,0.0079,0.23,0.012,Null,0.025373134
1400000US36029001500,36029001500,15,Erie,New York,20781,4.2,2280.987654,1120.691358,1160.296296,246.0967078,0.109763132,0.053928654,0.055834478,0.01184239,1633,58,89,132,322,435,555,644,754,819,913,1112,1276,1483,1577,1633,1633,741,8892,34.2,Null,0,0.160904255,0.255,0.0027,53,0.1416,0.2,0.02,0.080528803,0.063686467
1400000US36029003100,36029003100,31,Erie,New York,16745,3.3,1711.231788,827.8675497,883.3642384,232.9713024,0.102193597,0.049439686,0.052753911,0.013912888,1823,215,354,488,571,757,949,1075,1210,1303,1437,1534,1696,1800,1808,1823,1823,548,6576,30.6,Null,0,0.266490765,0.426,0.0093,90,0.1191,0.19,0.063,0.105353003,0.076247943
1400000US36029004100,36029004100,41,Erie,New York,23050,4.4,2102.433333,1095.433333,1007,439.0194444,0.091211858,0.047524223,0.043687636,0.019046397,849,44,155,210,243,292,332,396,429,472,540,635,726,766,786,817,849,797,9564,23.7,Null,0,0.100456621,0.327,0.0236,160,0.1641,0.2,0.061,0.0954492,0.37573616
1400000US36029016400,36029016400,164,Erie,New York,17917,3.4,2549.030995,1118.427406,1430.603589,486.502447,0.142268851,0.062422694,0.079846157,0.02715312,1819,143,168,283,397,518,593,660,756,808,902,1155,1333,1465,1616,1767,1819,563,6756,31.2,Null,1,0.130960854,0.2777,0.0039,546,0.5362,0.19,0.084,0.082386303,0.052226498
